Rate	71.43
Rev Jump	14.29
Prior Change	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
6	0.833333	0.0	0	994	0.038229	0.566555	9	0.777778	0.043000	0.044523	
3	0.000000	0.0	0	997	0.031093	0.566555	12	0.583333	0.031000	0.044471	
0.0	0	0.0	0	1000	0.023000	1.041576	0	0.000000	0.023000	0.044387	
5	0.000000	0.0	0	995	0.040201	1.041576	5	0.000000	0.040000	0.044370	
2	0.000000	1	0.000000	997	0.048144	1.041576	7	0.000000	0.048000	0.044384	
4	0.000000	1	0.000000	995	0.035176	1.041576	11	0.000000	0.035000	0.044348	
3	0.000000	0.0	0	997	0.036108	0.893132	3	0.000000	0.036000	0.044317	
3	0.000000	2	0.000000	995	0.028141	0.893132	6	0.000000	0.028000	0.044255	
3	0.000000	1	0.000000	996	0.037149	0.893132	9	0.000000	0.037000	0.044227	
1	0.000000	1	0.000000	998	0.030060	0.893132	10	0.000000	0.030000	0.044173	
1	1.000000	0.0	0	999	0.040040	0.787488	1	1.000000	0.041000	0.044161	
2	0.000000	2	0.000000	996	0.023092	0.787488	3	0.333333	0.023000	0.044082	
2	0.000000	0.0	0	998	0.030060	0.787488	5	0.200000	0.030000	0.044030	
5	0.000000	0.0	0	995	0.035176	0.787488	10	0.100000	0.035000	0.043996	
1	0.000000	0.0	0	999	0.044044	0.785250	1	0.000000	0.044000	0.043996	
0.0	0	0.0	0	1000	0.027000	0.785250	1	0.000000	0.027000	0.043933	
2	0.000000	0.0	0	998	0.031062	0.785250	3	0.000000	0.031000	0.043886	
2	0.500000	1	0.000000	997	0.027081	0.785250	5	0.200000	0.028000	0.043828	
1	1.000000	0.0	0	999	0.023023	0.785250	6	0.333333	0.024000	0.043755	
3	0.333333	0.0	0	997	0.029087	0.785250	9	0.333333	0.030000	0.043705	
3	0.000000	0.0	0	997	0.029087	0.785250	12	0.250000	0.029000	0.043652	
1	0.000000	0.0	0	999	0.034034	0.785250	1	0.000000	0.034000	0.043617	
4	0.000000	0.0	0	996	0.039157	0.785250	5	0.000000	0.039000	0.043601	
3	0.000000	0.0	0	997	0.035105	0.785250	8	0.000000	0.035000	0.043570	
3	0.000000	0.0	0	997	0.035105	0.785250	11	0.000000	0.035000	0.043539	
4	0.000000	0.0	0	996	0.030120	0.731919	4	0.000000	0.030000	0.043491	
6	0.000000	0.0	0	994	0.030181	0.731919	10	0.000000	0.030000	0.043443	
5	0.600000	0.0	0	995	0.043216	0.518594	5	0.600000	0.046000	0.043452	
8	0.625000	1	0.000000	991	0.031282	0.518594	13	0.615385	0.036000	0.043426	
1	1.000000	0.0	0	999	0.026026	0.571039	1	1.000000	0.027000	0.043368	
7	0.428571	0.0	0	993	0.030211	0.571039	8	0.500000	0.033000	0.043332	
4	0.250000	0.0	0	996	0.032129	0.571039	12	0.416667	0.033000	0.043296	
0.0	0	0.0	0	1000	0.023000	0.931336	0	0.000000	0.023000	0.043226	
3	0.000000	2	0.000000	995	0.034171	0.931336	3	0.000000	0.034000	0.043194	
2	0.000000	1	0.000000	997	0.024072	0.931336	5	0.000000	0.024000	0.043127	
3	0.333333	0.0	0	997	0.028084	0.931336	8	0.125000	0.029000	0.043079	
2	0.000000	0.0	0	998	0.029058	0.931336	10	0.100000	0.029000	0.043031	
4	0.250000	0.0	0	996	0.027108	0.580750	4	0.250000	0.028000	0.042979	
5	0.200000	0.0	0	995	0.029146	0.580750	9	0.222222	0.030000	0.042935	
3	0.666667	0.0	0	997	0.031093	0.580750	12	0.333333	0.033000	0.042902	
5	0.200000	0.0	0	995	0.034171	0.580750	5	0.200000	0.035000	0.042875	
4	0.000000	0.0	0	996	0.033133	0.580750	9	0.111111	0.033000	0.042842	
4	0.000000	0.0	0	996	0.041165	0.580750	13	0.076923	0.041000	0.042835	
4	0.250000	1	0.000000	995	0.032161	0.550042	4	0.250000	0.033000	0.042803	
